Catégorie/Année;Au 31/12/2010;Au 31/12/2011;Au 31/12/2012;Au 31/12/2013;Au 31/12/2014;Au 31/12/2015;Au 31/12/2016;Au 31/12/2017;Au 31/12/2018;Au 31/12/2019;Au 31/12/2020;Au 31/12/2021;31/12/2022
Nombre d’opérateurs;35;32;30;21;16;16;14;15;14;13;14;15;17
Nombre d’agréments;48;49;43;33;31;29;27;28;27;26;27;28;29
Nombre agréments paris sportifs;15;16;13;10;11;11;12;13;13;13;14;15;17
Nombre agréments paris hippiques;8;9;8;8;8;8;8;8;8;7;7;7;5
Nombre agréments poker;25;24;22;15;12;10;7;7;6;6;6;6;7
Nombre de comptes joueurs actifs total;2 058 000;2 325 000;2 229 000;2 142 000;2 320 000;2 102 000;2 483 000;2 804 000;3 914 000;4 174 000;4 891 000;5 435 000;5 213 000
Nombre CJA Paris sportifs;819 000;705 000;765 000;842 000;1 142 000;1 193 000;1 621 000;1 993 000;3 227 000;3 443 000;3 865 000;4 474 000;4 457 000
Nombre CJA Paris hippiques;365 000;502 000;509 000;496 000;488 000;475 000;484 000;523 000;588 000;599 000;628 000;624 000;625 000
Nombre CJA Poker;1 188 000;1 686 000;1 713 000;1 240 000;1 157 000;990 000;972 000;1 049 000;1 136 000;1 199 000;1 840 000;1 653 000;1 763 000
Nombre de joueurs uniques;;;;;;;;;2 663 000;2 800 000;3 339 000;3 800 000;4 031 000
Mises paris sportifs (en M€);448;592;705;848;1 107;1 440;2 081;2 510;3 904;5 056;5 352;7 891;8 307
PBJ paris sportifs (en M€);79;115;138;164;227;270;349;472;691;880;940;1 355;1 389
Mises paris hippiques (en M€);452;1 034;1 124;1 111;1 034;1 016;924;999;1 049;1 106;1 473;1 583;1 439
PBJ paris hippiques (en M€);99;243;263;264;257;254;234;245;256;271;354;375;346
Mises poker cash game (en M€);3 706;7 593;6 182;5 055;4 317;3 729;3 556;3 601;4 154;3 919;5 038;4 795;4 960
Droits d'entrée en tournois de poker (en M€);412;1 159;1 397;1 460;1 548;1 772;1 866;2 041;2 267;2 457;4 329;4 049;4 498
PBJ poker (en M€);139;314;297;258;241;232;230;245;258;272;446;429;442
Budget marketing médias (en M€);183;239;157;126;190;147;194;157;187;239;161;237;214
Part mises smartphones et tablettes PS T4;;12%;21%;33%;45%;53%;61%;63%;76%;83%;90%;;
Part mises ordinateur PS T4;;88%;79%;67%;55%;47%;39%;37%;24%;17%;10%;;
Part mises smartphones et tablettes PH T4;;12%;27%;31%;33%;36%;33%;44%;53%;55%;58%;;
Part mises ordinateur PH T4;;88%;73%;69%;67%;64%;67%;56%;47%;45%;42%;;
Part mises smartphones et tablettes PO T4;;12%;27%;31%;38%;46%;25%;51%;57%;40%;42%;;
Part mises ordinateur PO T4;;88%;73%;69%;62%;54%;75%;49%;43%;60%;58%;;
Part hommes PS T4;92%;92%;92%;92%;93%;93%;92%;92%;92%;90%;89%;85%;86%
Part femmes PS T4;8%;8%;8%;8%;7%;7%;8%;8%;8%;10%;11%;15%;14%
Part hommes PH T4;81%;80%;81%;81%;83%;89%;89%;89%;89%;89%;89%;81%;82%
Part femmes PH T4;19%;20%;19%;19%;17%;11%;11%;11%;11%;11%;11%;19%;18%
Part hommes PO T4;91%;89%;88%;88%;89%;83%;83%;83%;83%;84%;83%;87%;88%
Part femmes PO T4;9%;11%;12%;12%;11%;17%;17%;17%;17%;16%;17%;13%;12%
Part mises football;;;59%;61%;63%;58%;58%;57%;60%;54%;66%;60%;56%
Part mises tennis;;;19%;19%;16%;20%;20%;21%;20%;23%;15%;19%;22%
Part mises basketball;;;8%;9%;10%;11%;10%;11%;10%;12%;9%;13%;12%
Part mises rugby;;;3%;3%;3%;4%;3%;3%;2%;3%;2%;2%;2%
;;;;;;;;;;;;;
;Données non disponibles;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
